scenario,seed,alpha,C,l_rmse_truth,propensity_log_loss,propensity_rmse_truth,propensity_auc
C,9101,0.02,0.2,1.3205794826045834,0.8039424896392906,0.2738855380267988,0.597169992478917
C,9101,0.03,0.05,1.2319453733447123,0.6782671744208504,0.1676690297355169,0.5978540909891025
C,9101,0.03,0.1,1.2319453733447123,0.7067823206933964,0.20650987473823873,0.5981901393800708
C,9101,0.03,0.2,1.2319453733447123,0.8039421080542426,0.2738855808551107,0.5971779936310828
C,9101,0.05,0.05,1.1554626027616977,0.6782667153154355,0.1676689164373806,0.5978580915651854
C,9101,0.05,0.1,1.1554626027616977,0.7067825711049391,0.20651044133477053,0.5981941399561538
C,9101,0.05,0.2,1.1554626027616977,0.8039418949751156,0.2738856472465493,0.597165991902834
C,9101,0.08,0.05,1.1296453944476013,0.6782665808328933,0.16766891077527282,0.5978540909891025
C,9101,0.08,0.1,1.1296453944476013,0.7067833368365725,0.20651050049465844,0.5981941399561537
C,9101,0.08,0.2,1.1296453944476013,0.8039426532906759,0.2738863299414922,0.5971779936310828
C,9102,0.02,0.05,1.2496963872288163,0.686000334875151,0.18018890516886107,0.585818343273373
C,9102,0.02,0.1,1.2496963872288163,0.7208344784062163,0.22164499677304836,0.5878343513374054
C,9102,0.02,0.2,1.2496963872288163,0.8354551574513817,0.2885738983997242,0.5789823159292637
C,9102,0.03,0.05,1.16639484891135,0.6860006365472093,0.18018897670450848,0.585806343225373
C,9102,0.03,0.1,1.16639484891135,0.7208366808740957,0.2216455723400543,0.5878463513854055
C,9102,0.03,0.2,1.16639484891135,0.835453976466365,0.288573478146368,0.5789703158812636
C,9102,0.05,0.05,1.0864072092309889,0.6860005843704362,0.18018879828062734,0.5858103432413729
C,9102,0.05,0.1,1.0864072092309889,0.7208356463642681,0.22164628784460289,0.5878503514014055
C,9102,0.05,0.2,1.0864072092309889,0.8354545602804206,0.2885742394923034,0.5789743158972636
C,9102,0.08,0.05,1.0734255098583878,0.6860004354898436,0.18018873272280786,0.5858103432413729
C,9102,0.08,0.1,1.0734255098583878,0.7208352558267529,0.22164540560989812,0.5878463513854055
C,9102,0.08,0.2,1.0734255098583878,0.8354513752513897,0.28857262430018554,0.5789783159132635
C,9103,0.02,0.05,1.4630495149298095,0.6691543551826544,0.1705303763421276,0.6242781506249026
C,9103,0.02,0.1,1.4630495149298095,0.7171739315916272,0.21354059895933308,0.6024796001264612
C,9103,0.02,0.2,1.4630495149298095,0.8224825903057889,0.2782980008264897,0.601599174000216
C,9103,0.03,0.05,1.3630488218048973,0.6691541301019219,0.17053062604157923,0.6242821525618399
C,9103,0.03,0.1,1.3630488218048973,0.7171725128104968,0.21353952704879414,0.6024916059372736
C,9103,0.03,0.2,1.3630488218048973,0.8224896389154129,0.2782992379960659,0.6015831662524662
C,9103,0.05,0.05,1.2711774361508759,0.6691537717070917,0.17053049410642154,0.6242861544987774
C,9103,0.05,0.1,1.2711774361508759,0.7171707861064035,0.2135394534635809,0.6024876040003362
C,9103,0.05,0.2,1.2711774361508759,0.8224839954777214,0.27829835579621603,0.6015991740002161
C,9103,0.08,0.05,1.2369786164198617,0.6691544073244762,0.1705306136844421,0.6242701467510275
C,9103,0.08,0.1,1.2369786164198617,0.7171732114124582,0.21354050217659473,0.6024796001264612
C,9103,0.08,0.2,1.2369786164198617,0.8224856528091969,0.27829860853808186,0.6015991740002161
D,9101,0.02,0.05,1.3665511562328052,0.6029441721678624,0.24257382619834683,0.7360374552553202
D,9101,0.02,0.1,1.3665511562328052,0.6365888592448529,0.25922975248854396,0.6953513634851345
D,9101,0.02,0.2,1.3665511562328052,0.7347668192034748,0.30453817165845753,0.6718335998973828
D,9101,0.03,0.05,1.2832139166217549,0.6029452882343296,0.24257400908803067,0.7360334467733725
D,9101,0.03,0.1,1.2832139166217549,0.6365891880926154,0.25922958092079024,0.6953353295573435
D,9101,0.03,0.2,1.2832139166217549,0.7347718428028379,0.30453928580554446,0.6718416168612784
D,9101,0.05,0.05,1.2151943003514467,0.6029448495516807,0.24257399550054493,0.7360374552553202
D,9101,0.05,0.1,1.2151943003514467,0.6365895511371148,0.2592291957042127,0.6953393380392912
D,9101,0.05,0.2,1.2151943003514467,0.7347741476819372,0.304540305443227,0.6718335998973829
D,9101,0.08,0.05,1.1904156719774424,0.6029446858574906,0.24257414933125793,0.7360294382914246
D,9101,0.08,0.1,1.1904156719774424,0.6365888246021068,0.2592299415190766,0.6953433465212389
D,9101,0.08,0.2,1.1904156719774424,0.7347718222267579,0.3045396666087019,0.6718295914154351
D,9102,0.02,0.05,1.3001694462481463,0.6122247128011872,0.24078159922938694,0.7287356597705563
D,9102,0.02,0.1,1.3001694462481463,0.6378429235483936,0.25458601624040017,0.7043432694923119
D,9102,0.02,0.2,1.3001694462481463,0.7576957571017987,0.30436282670399883,0.6658666538664618
D,9102,0.03,0.05,1.227936050036306,0.6122249600532743,0.2407818785475427,0.7287396598345572
D,9102,0.03,0.1,1.227936050036306,0.6378435936732496,0.25458567330662213,0.7043472695563129
D,9102,0.03,0.2,1.227936050036306,0.757694868545132,0.3043624487024416,0.6658706539304629
D,9102,0.05,0.05,1.165996595072706,0.6122252836622156,0.24078219581664084,0.7287356597705563
D,9102,0.05,0.1,1.165996595072706,0.6378429620337297,0.25458640754402784,0.7043472695563129
D,9102,0.05,0.2,1.165996595072706,0.7576973102261126,0.3043633825954796,0.6658626538024609
D,9102,0.08,0.05,1.1514830253020127,0.6122240636546301,0.24078116561146656,0.7287396598345575
D,9102,0.08,0.1,1.1514830253020127,0.6378446537797426,0.2545872794552219,0.7043472695563129
D,9102,0.08,0.2,1.1514830253020127,0.7576938346245559,0.3043625483164645,0.6658666538664618
D,9103,0.02,0.05,1.5161054855225427,0.5850489811104562,0.23460261304469535,0.7618967526460589
D,9103,0.02,0.1,1.5161054855225427,0.6092235651034567,0.25309998739216744,0.7375405969300511
D,9103,0.02,0.2,1.5161054855225427,0.6930366572231027,0.29886756156985084,0.7133646495348622
D,9103,0.03,0.05,1.4266453665626944,0.5850496009670961,0.23460315173009835,0.7618927480167074
D,9103,0.03,0.1,1.4266453665626944,0.609222008300893,0.2530998691144613,0.7375486061887542
D,9103,0.03,0.2,1.4266453665626944,0.6930354299932951,0.2988667405935029,0.7133726587935654
D,9103,0.05,0.05,1.3347102395707542,0.5850492106112565,0.2346030161776561,0.7618967526460589
D,9103,0.05,0.1,1.3347102395707542,0.6092234556303763,0.2531003758467503,0.7375325876713481
D,9103,0.05,0.2,1.3347102395707542,0.6930345494333443,0.29886659632898016,0.7133606449055108
D,9103,0.08,0.05,1.2952045530591803,0.5850484978538617,0.2346021635380297,0.7618927480167074
D,9103,0.08,0.1,1.2952045530591803,0.6092233397642218,0.25309962895367694,0.7375405969300513
D,9103,0.08,0.2,1.2952045530591803,0.6930358457673838,0.2988670807142911,0.7133526356468076
